entreprise,localite,telephone,email,categorie,signal_alerte,source_url,requete
Orpi Parc Immo,Paris,+33 1 42 02 92 00,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.orpi.com/parc.immo/,overpass:agence immobilière:Paris
Matmut,Paris,+33 1 45 32 56 32,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'assurance, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://matmut.fr,overpass:cabinet d'assurance:Paris
Reiter Legal,Paris,+33 1 79 75 91 91,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'avocats, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://avocat-reiter-paris.fr,overpass:cabinet d'avocats:Paris
CG Legal,Paris,+33 1 40 15 90 77,cglegal@cglegal.fr,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'avocats, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.cglegal.fr,overpass:cabinet d'avocats:Paris
gan assurances,Paris,+33 1 58 10 16 00,parismontsouris@gan.fr,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'assurance, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.ganassurances.fr/,overpass:cabinet d'assurance:Paris
Laforêt,Paris,+33 1 43 40 10 10,paris12garedelyon@laforet.com,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.laforet.com/agence-immobiliere/paris12garedelyon,overpass:agence immobilière:Paris
Cabinet d'Avocats DS2A Maître Dulucq & Maître Stalder,Paris,+33 1 85 53 21 43,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'avocats, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.ds2a-avocats.fr/contact,overpass:cabinet d'avocats:Paris
GranDental,Paris,+33 1 83 75 81 22,accueil.lecourbe@grandental.fr,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet dentaire, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://grandental.fr,overpass:cabinet dentaire:Paris
Saint-Ferdinand Immobilier,Paris,+33 1 88 83 72 00,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.agencessaintferdinand.com,overpass:agence immobilière:Paris
Centre médico-dentaire de France Gare de l'Est - Magenta,Paris,+33 1 40 23 02 22,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet dentaire, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/1488772081,overpass:cabinet dentaire:Paris
