entreprise,localite,telephone,email,categorie,secteur,signal_alerte,source_url,requete
Comité Régional du Tourisme Centre-Val de Loire,Loiret,,,Besoin logiciel exprimé (appel d'offres public),secteur public / collectivité,"Besoin exprimé : « Refonte du site internet à destination des professionnels du tourisme ». Appel d'offres publié le 2026-05-27, réponse avant le 2026-06-24T12:00:00+00:00. Besoin avéré, budget public engagé.",https://www.boamp.fr/pages/avis/?q=idweb:26-51899,boamp:26-51899
GIP Genopole,Essonne,,,Besoin logiciel exprimé (appel d'offres public),secteur public / collectivité,"Besoin exprimé : « REFONTE DU SITE WEB DU GIP GENOPOLE ». Appel d'offres publié le 2026-05-21, réponse avant le 2026-06-12T12:00:00+00:00. Besoin avéré, budget public engagé.",https://www.boamp.fr/pages/avis/?q=idweb:26-50513,boamp:26-50513
CMAR Pays de Loire,Loire-Atlantique,,,Besoin logiciel exprimé (appel d'offres public),secteur public / collectivité,"Besoin exprimé : « CMA PdL, refonte du site internet ». Appel d'offres publié le 2026-05-18, réponse avant le 2026-06-19T12:00:00+00:00. Besoin avéré, budget public engagé.",https://www.boamp.fr/pages/avis/?q=idweb:26-48875,boamp:26-48875
SYNDICAT MIXTE DES GORGES DU GARDON,Gard,,,Besoin logiciel exprimé (appel d'offres public),secteur public / collectivité,"Besoin exprimé : « Développement d’une application de réalité augmentée avec une interface back office, autour d’une maquette pédagogique et d’un musée mobile sur la biodiversité. ». Appel d'offres publié le 2026-05-13, réponse avant le 2026-06-03T17:01:00+00:00. Besoin avéré, budget public engagé.",https://www.boamp.fr/pages/avis/?q=idweb:26-47955,boamp:26-47955
Ville d'Orange (84),Vaucluse,,,Besoin logiciel exprimé (appel d'offres public),secteur public / collectivité,"Besoin exprimé : « REFONTE DU SITE INTERNET DE LA VILLE ET APPLICATION MOBILE ». Appel d'offres publié le 2026-05-12, réponse avant le 2026-06-03T12:00:00+00:00. Besoin avéré, budget public engagé.",https://www.boamp.fr/pages/avis/?q=idweb:26-47737,boamp:26-47737
Université Toulouse  - Capitole,Haute-Garonne,,,Besoin logiciel exprimé (appel d'offres public),secteur public / collectivité,"Besoin exprimé : « L'accord-cadre a pour objet des prestations de tierce maintenance applicative pour le site web institutionnel de TSM. ». Appel d'offres publié le 2026-05-07, réponse avant le 2026-06-04T12:00:00+00:00. Besoin avéré, budget public engagé.",https://www.boamp.fr/pages/avis/?q=idweb:26-46139,boamp:26-46139
CFDC de l'AP-HP,Paris,,,Besoin logiciel exprimé (appel d'offres public),secteur public / collectivité,"Besoin exprimé : « Fourniture solution logicielle de simulation numérique - apprentissage du raisonnement clinique des étudiants en santé- prestations de maintenance et d'accompagnement associées ». Appel d'offres publié le 2026-05-07, réponse avant le 2026-06-11T12:00:00+00:00. Besoin avéré, budget public engagé.",https://www.boamp.fr/pages/avis/?q=idweb:26-46173,boamp:26-46173
CAVIMAC,Seine-Saint-Denis,,,Besoin logiciel exprimé (appel d'offres public),secteur public / collectivité,"Besoin exprimé : « Tierce maintenance applicative, hébergement et exploitation du site internet des assurés de la CAVIMAC ». Appel d'offres publié le 2026-04-30, réponse avant le 2026-06-01T12:00:00+00:00. Besoin avéré, budget public engagé.",https://www.boamp.fr/pages/avis/?q=idweb:26-43968,boamp:26-43968
Fondation de l'AP-HP,Paris,,,Besoin logiciel exprimé (appel d'offres public),secteur public / collectivité,"Besoin exprimé : « Prestation de conception, de réalisation et de production de contenus audiovisuels et pédagogique pour la plateforme numérique CléPsy ». Appel d'offres publié le 2026-04-27, réponse avant le 2026-06-05T00:00:00+00:00. Besoin avéré, budget public engagé.",https://www.boamp.fr/pages/avis/?q=idweb:26-42301,boamp:26-42301
Mairie de Lieusaint,Seine-et-Marne,,,Besoin logiciel exprimé (appel d'offres public),secteur public / collectivité,"Besoin exprimé : « CONCEPTION ERGONOMIQUE, GRAPHIQUE, TECHNIQUE et FONCTIONNELLE, DEVELOPPEMENT, HEBERGEMENT et MAINTENANCE DU SITE WEB  DE LA VILLE DE LIEUSAINT ». Appel d'offres publié le 2026-04-20, réponse avant le 2026-05-15T17:30:00+00:00. Besoin avéré, budget public engagé.",https://www.boamp.fr/pages/avis/?q=idweb:26-40018,boamp:26-40018
DEPARTEMENT DE L'AVEYRON (CD12),Aveyron,,,Besoin logiciel exprimé (appel d'offres public),secteur public / collectivité,"Besoin exprimé : « Assistance à maitrise d’ouvrage : conseil en communication digitale et refonte du site aveyron.fr ». Appel d'offres publié le 2026-04-13, réponse avant le 2026-05-05T12:00:00+00:00. Besoin avéré, budget public engagé.",https://www.boamp.fr/pages/avis/?q=idweb:26-37113,boamp:26-37113
INRIA,Yvelines,,,Besoin logiciel exprimé (appel d'offres public),secteur public / collectivité,"Besoin exprimé : « HEBERGEMENT, MAINTENANCE ET EVOLUTION DU SITE WEB LABORIA.AI ». Appel d'offres publié le 2026-03-24, réponse avant le 2026-04-22T17:00:00+00:00. Besoin avéré, budget public engagé.",https://www.boamp.fr/pages/avis/?q=idweb:26-30538,boamp:26-30538
La Fémis - Ecole nationale supérieure des métiers de l'image et du son,Paris,,,Besoin logiciel exprimé (appel d'offres public),secteur public / collectivité,"Besoin exprimé : « Refonte du site internet de la Fémis ». Appel d'offres publié le 2026-03-20, réponse avant le 2026-05-15T12:00:00+00:00. Besoin avéré, budget public engagé.",https://www.boamp.fr/pages/avis/?q=idweb:26-29378,boamp:26-29378
