entreprise,localite,telephone,email,categorie,secteur,signal_alerte,source_url,requete
J V S -MAIRISTEM,Saint-Martin-Sur-Le-Pre,,,Client final tech (éditeur/scale-up) — mission directe,éditeur de logiciels applicatifs,"Client final tech (éditeur de logiciels applicatifs, 250 à 499 salariés) : développe son propre produit logiciel → besoin de dev récurrent, budget, projets sérieux. Mission freelance directe à décrocher (pas d'intermédiaire ESN).",https://annuaire-entreprises.data.gouv.fr/entreprise/328552187,api-entreprises:scaleup:éditeur de logiciels applicatifs
COYOTE SYSTEM,Suresnes,,,Client final tech (éditeur/scale-up) — mission directe,éditeur de logiciels système/réseau,"Client final tech (éditeur de logiciels système/réseau, 250 à 499 salariés) : développe son propre produit logiciel → besoin de dev récurrent, budget, projets sérieux. Décideur à contacter en direct : Benoit Lambert. Mission freelance directe à décrocher (pas d'intermédiaire ESN).",https://annuaire-entreprises.data.gouv.fr/entreprise/518905476,api-entreprises:scaleup:éditeur de logiciels système/réseau
GESTION PLUS INFORMATIQUE (GPI),Craponne,,,Client final tech (éditeur/scale-up) — mission directe,éditeur d'outils de développement,"Client final tech (éditeur d'outils de développement, 20 à 49 salariés) : développe son propre produit logiciel → besoin de dev récurrent, budget, projets sérieux. Mission freelance directe à décrocher (pas d'intermédiaire ESN).",https://annuaire-entreprises.data.gouv.fr/entreprise/332172428,api-entreprises:scaleup:éditeur d'outils de développement
PLAYWING LTD,France,,,Client final tech (éditeur/scale-up) — mission directe,éditeur de jeux vidéo,"Client final tech (éditeur de jeux vidéo, 20 à 49 salariés) : développe son propre produit logiciel → besoin de dev récurrent, budget, projets sérieux. Décideur à contacter en direct : Pascal Barret. Mission freelance directe à décrocher (pas d'intermédiaire ESN).",https://annuaire-entreprises.data.gouv.fr/entreprise/834919896,api-entreprises:scaleup:éditeur de jeux vidéo
OFFICE NATIONAL D'INFORMATION SUR LES ENSEIGNEMENTS ET LES PROFESSIONS (ONISEP),Lognes,,,Client final tech (éditeur/scale-up) — mission directe,SaaS / hébergement / data,"Client final tech (SaaS / hébergement / data, 250 à 499 salariés) : développe son propre produit logiciel → besoin de dev récurrent, budget, projets sérieux. Mission freelance directe à décrocher (pas d'intermédiaire ESN).",https://annuaire-entreprises.data.gouv.fr/entreprise/180043028,api-entreprises:scaleup:SaaS / hébergement / data
LINKEO.COM,Paris,,,Client final tech (éditeur/scale-up) — mission directe,plateforme / portail web,"Client final tech (plateforme / portail web, 100 à 199 salariés) : développe son propre produit logiciel → besoin de dev récurrent, budget, projets sérieux. Décideur à contacter en direct : Valery Gerfaud. Mission freelance directe à décrocher (pas d'intermédiaire ESN).",https://annuaire-entreprises.data.gouv.fr/entreprise/430106278,api-entreprises:scaleup:plateforme / portail web
APLIM,Saint-Jeoire-Prieure,,,Client final tech (éditeur/scale-up) — mission directe,éditeur de logiciels applicatifs,"Client final tech (éditeur de logiciels applicatifs, 100 à 199 salariés) : développe son propre produit logiciel → besoin de dev récurrent, budget, projets sérieux. Décideur à contacter en direct : Erwann Lamour. Mission freelance directe à décrocher (pas d'intermédiaire ESN).",https://annuaire-entreprises.data.gouv.fr/entreprise/403315815,api-entreprises:scaleup:éditeur de logiciels applicatifs
ICS,Mouans-Sartoux,,,Client final tech (éditeur/scale-up) — mission directe,éditeur de logiciels système/réseau,"Client final tech (éditeur de logiciels système/réseau, 20 à 49 salariés) : développe son propre produit logiciel → besoin de dev récurrent, budget, projets sérieux. Décideur à contacter en direct : Nicolas Houe. Mission freelance directe à décrocher (pas d'intermédiaire ESN).",https://annuaire-entreprises.data.gouv.fr/entreprise/388310898,api-entreprises:scaleup:éditeur de logiciels système/réseau
JES (JES) (JES),Saint-Herblain,,,Client final tech (éditeur/scale-up) — mission directe,éditeur d'outils de développement,"Client final tech (éditeur d'outils de développement, 100 à 199 salariés) : développe son propre produit logiciel → besoin de dev récurrent, budget, projets sérieux. Décideur à contacter en direct : Eric Jacquet. Mission freelance directe à décrocher (pas d'intermédiaire ESN).",https://annuaire-entreprises.data.gouv.fr/entreprise/305024382,api-entreprises:scaleup:éditeur d'outils de développement
SORARE,Saint-Mande,,,Client final tech (éditeur/scale-up) — mission directe,éditeur de jeux vidéo,"Client final tech (éditeur de jeux vidéo, 50 à 99 salariés) : développe son propre produit logiciel → besoin de dev récurrent, budget, projets sérieux. Mission freelance directe à décrocher (pas d'intermédiaire ESN).",https://annuaire-entreprises.data.gouv.fr/entreprise/844355727,api-entreprises:scaleup:éditeur de jeux vidéo
